"","saledate","neigh","saleprice","landval","imprval","totalval","mbmancls","mbyrblt","mbeffyr","heattype","baseste","garagefl","carptfl","mktrcnld","linmcls","mbmclsdv","bedrooms","baths","familyrm","fireplcs","flrarea1","flrarea2","bsmtfin","mbmktval","mb_rcn","cp_mancl","cp_area","cpmktval","cp_rcn","gr_mancl","gar_area","gar_type","grmktval","gr_rcn","ob1mktval","lcs_val","width","depth","lot_size","conduit","alley","sidewalk","culdesac","corner","wooded","pie_shpe","slope","abv_road","splitlvl","crwlarea","bsmtarea","unfinbmt","area1_2","totarea","linmcdv","random","month"
"191",280917,731,156068.4134275,57435.312,105793.204,163228.516,90,1981,1981,2,0,1,0,126035.479108,0.945,0,3,1.75,1,1,1103,0,800,119454.035630335,148673.2021677,0,0,0,0,920,264,2,6580.85046255,8901.6959808,0,45656.72,71,110,7810,0,1,0,0,0,0,0,0,0,0,0,1103,303,1103,1903,0.945,0.5042059,9
"192",280917,713,151319.988148,50312.064,74444.304,124756.368,90,1983,1983,2,0,0,1,99010.1630035,0.945,-2,3,1,1,2,1021,0,393,95627.802459245,124657.70732415,921,228,3381.80346945,4696.6797108,0,0,0,0,0,0,45229.4,60.1,125.4,7537,0,0,0,0,0,0,0,0,0,0,0,1021,628,1021,1414,0.9261,0.5060414,9
"193",300917,716,140542.421726,52350.144,89431.496,141781.64,90,1998,1998,2,0,0,0,109240.572245,0.945,2,3,1.5,0,1,1129,0,0,109239.81749849,134316.30623355,0,0,0,0,0,0,0,0,0,0,47858.01,60,115,6900,1,0,0,0,0,0,0,0,1,0,0,1129,1129,1129,1129,0.9639,0.5081599,9
"194",10417,731,135450.954601025,55124.696,59910.972,115035.668,80,1975,1975,3,0,0,0,63814.080743,0.783,-10,3,1.5,0,0,877,0,116,63813.779180935,88200.5179923,0,0,0,0,0,0,0,0,0,0,43947.37,60,110,6600,0,1,0,0,0,0,0,0,0,0,0,877,761,877,993,0.7047,0.5129564,4
"195",270317,737,147696.678255,55932.8,77826.496,133759.296,90,1998,1998,2,0,0,0,93444.806,0.945,2,3,1,0,0,960,0,0,93444.87788062,114895.60032195,0,0,0,0,0,0,0,0,0,0,51325.13,81.8,107,8755,1,0,0,1,0,0,1,0,0,0,0,960,960,960,960,0.9639,0.5150561,3
"196",260317,734,67225.956798,26645.85,25816.868,52462.718,40,1976,1976,1,0,0,0,42796.963293,0.507,10,2,1,0,0,772,0,0,42618.65604206,61239.8921337,0,0,0,0,0,0,0,0,0,179.0593,26536.82,50,125,6250,0,0,1,0,0,0,0,1,1,0,772,0,0,772,772,0.5577,0.5178976,3
"197",300317,737,184820.4379245,52576.832,115860.8,168437.632,140,1999,1999,2,0,0,1,150055.459554,1,2,3,2.25,1,1,1126,0,800,140936.22001095,168647.0618196,921,528,9119.7154503,11974.0167729,0,0,0,0,0,0,48984.93,65.8,107.4,7068,1,0,0,0,1,0,0,0,0,0,0,1056,256,1126,1926,1.02,0.5186295,3
"198",240617,716,165808.47507,74318.508,110465.036,184783.544,140,2000,2000,2,0,1,0,144407.392311,1,-2,3,1.75,2,1,1132,0,800,135935.08204731,161446.2044013,0,0,0,0,920,364,1,8472.1008645,11009.4479586,0,53512.01,103,124.5,12831,1,0,0,0,0,1,0,0,0,1,0,1092,292,1132,1932,0.98,0.5188552,6
"199",310317,737,171647.490945,65840.896,74470.528,140311.424,90,1986,1986,3,0,0,0,78204.3175445,0.945,0,3,1,0,0,1000,0,300,78204.191753415,121246.7922036,0,0,0,0,0,0,0,0,0,0,49877.53,63.6,160,10170,1,0,0,0,0,0,0,0,0,0,0,1000,700,1000,1300,0.945,0.5189226,3
"200",130817,716,134225.90839,59672.932,82108.708,141781.64,90,1998,1998,2,0,0,1,105111.030626,0.945,0,3,1.5,0,1,960,0,0,100064.40011673,116829.90780615,921,300,5046.019524,6360.89576535,0,0,0,0,0,0,48673.58,50,120,6000,1,0,0,0,0,0,0,0,0,0,0,960,960,960,960,0.945,0.5198177,8
